ID,FILE_FAKE,VOICE_FAKE,MUSIC_FAKE,VOICE_PRESENT,MUSIC_PRESENT,AUDIO_TYPE,MIX_MODE,COMPONENT_CASE,EVAL_CELL,SPLIT,VOICE_SOURCE_ID,MUSIC_SOURCE_ID,VOICE_GENERATOR,MUSIC_GENERATOR,CONDITION,SOFIA_MERT_FAKE_PROB
yue_007_concurrent_v1_m0,1,1.0,0,1,1,mixed,concurrent,voice_fake__music_real,concurrent__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_01,efp_extra_real_010670,cosyvoice3_0.5b,real,clean_separator_free,0.0058591910637915134
yue_007_concurrent_v0_m1,1,0.0,1,1,1,mixed,concurrent,voice_real__music_fake,concurrent__voice_real__music_fake,audit_yue,voice_real_dohyun_extra_01,seed_20260839,bonafide,YuE,clean_separator_free,0.20383812487125397
yue_007_concurrent_v1_m1,1,1.0,1,1,1,mixed,concurrent,voice_fake__music_fake,concurrent__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_01,seed_20260839,cosyvoice3_0.5b,YuE,clean_separator_free,0.9778629541397095
yue_007_partial_overlap_v0_m0,0,0.0,0,1,1,mixed,partial_overlap,voice_real__music_real,partial_overlap__voice_real__music_real,audit_yue,voice_real_dohyun_extra_01,efp_extra_real_010670,bonafide,real,clean_separator_free,0.009955421090126038
yue_007_partial_overlap_v1_m0,1,1.0,0,1,1,mixed,partial_overlap,voice_fake__music_real,partial_overlap__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_01,efp_extra_real_010670,cosyvoice3_0.5b,real,clean_separator_free,0.012175125069916248
yue_007_partial_overlap_v0_m1,1,0.0,1,1,1,mixed,partial_overlap,voice_real__music_fake,partial_overlap__voice_real__music_fake,audit_yue,voice_real_dohyun_extra_01,seed_20260839,bonafide,YuE,clean_separator_free,0.7702433466911316
yue_007_partial_overlap_v1_m1,1,1.0,1,1,1,mixed,partial_overlap,voice_fake__music_fake,partial_overlap__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_01,seed_20260839,cosyvoice3_0.5b,YuE,clean_separator_free,0.9933685660362244
yue_007_sequential_v0_m0,0,0.0,0,1,1,mixed,sequential,voice_real__music_real,sequential__voice_real__music_real,audit_yue,voice_real_dohyun_extra_01,efp_extra_real_010670,bonafide,real,clean_separator_free,0.00788271613419056
yue_007_sequential_v1_m0,1,1.0,0,1,1,mixed,sequential,voice_fake__music_real,sequential__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_01,efp_extra_real_010670,cosyvoice3_0.5b,real,clean_separator_free,0.0212692990899086
yue_007_sequential_v0_m1,1,0.0,1,1,1,mixed,sequential,voice_real__music_fake,sequential__voice_real__music_fake,audit_yue,voice_real_dohyun_extra_01,seed_20260839,bonafide,YuE,clean_separator_free,0.779807448387146
yue_007_sequential_v1_m1,1,1.0,1,1,1,mixed,sequential,voice_fake__music_fake,sequential__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_01,seed_20260839,cosyvoice3_0.5b,YuE,clean_separator_free,0.99128657579422
